ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2024-07-16,1,3,8,10,3,1,1,0
2,2,1,2026-01-31,1,6,17,19,6,2,1,0
3,3,1,2026-01-29,1,13,39,40,13,3,1,0
4,4,1,2026-07-12,1,2,6,5,2,4,1,0
5,5,1,2026-07-03,1,22,65,67,22,5,1,0
6,6,1,2025-08-14,1,26,77,78,26,6,1,0
7,7,1,2025-05-14,1,7,20,21,7,7,1,0
8,8,2,2025-03-25,1,1,4,4,1,8,1,0
9,9,1,2026-07-22,1,9,28,26,9,9,1,0
10,10,1,2026-07-22,1,12,37,37,12,10,1,0
11,11,2,2025-11-06,1,31,94,92,31,11,1,0
12,12,1,2026-01-26,1,1,4,3,1,12,1,0
13,13,2,2025-12-07,1,25,74,75,25,13,1,0
14,14,1,2026-05-12,1,13,38,39,13,14,1,0
15,15,1,2026-06-15,1,17,51,50,17,15,1,0
16,16,2,2025-09-03,1,4,13,12,4,16,1,0
17,17,1,2024-10-26,1,1,2,4,1,17,1,0
18,18,2,2025-11-20,1,4,11,11,4,18,1,0
19,19,2,2024-09-07,1,27,81,82,27,19,1,0
20,20,2,2025-02-01,1,23,69,70,23,20,1,0
21,21,1,2024-06-21,1,19,57,56,19,21,1,0
22,22,2,2025-04-24,1,14,43,42,14,22,1,0
23,23,1,2024-05-16,1,17,50,50,17,23,1,0
24,24,1,2026-05-17,1,1,1,1,1,24,1,0
25,25,2,2025-11-02,1,11,32,33,11,25,1,0
26,26,2,2025-04-04,1,19,56,57,19,26,1,0
27,27,1,2024-08-04,1,16,47,47,16,27,1,0
28,28,2,2024-02-14,1,12,37,35,12,28,1,0
29,29,1,2024-05-14,1,29,88,86,29,29,1,0
30,30,2,2025-12-04,1,23,70,69,23,30,1,0
31,31,1,2025-10-11,1,29,88,88,29,31,1,0
32,32,1,2025-02-11,1,9,28,26,9,32,1,0
33,33,1,2025-10-17,1,10,31,29,10,33,1,0
34,34,1,2025-09-29,1,2,5,6,2,34,1,0
35,35,1,2025-12-22,1,31,92,92,31,35,1,0
36,36,1,2025-05-16,1,6,19,17,6,36,1,0
37,37,1,2025-10-04,1,8,23,24,8,37,1,0
38,38,1,2025-03-01,1,3,9,9,3,38,1,0
39,39,1,2024-08-04,1,28,84,85,28,39,1,0
40,40,1,2024-07-17,1,31,94,92,31,40,1,0
41,41,2,2026-01-13,1,19,57,56,19,41,1,0
42,42,1,2024-10-23,1,29,87,88,29,42,1,0
43,43,1,2025-11-14,1,15,44,45,15,43,1,0
44,44,1,2025-07-16,1,29,88,86,29,44,1,0
45,45,2,2026-01-19,1,4,13,12,4,45,1,0
46,46,1,2026-03-10,1,1,1,1,1,46,1,0
47,47,1,2024-12-18,1,26,77,78,26,47,1,0
48,48,2,2024-10-28,1,5,14,15,5,48,1,0
49,49,1,2024-10-07,1,14,42,43,14,49,1,0
50,50,1,2025-08-05,1,2,5,5,2,50,1,0
51,51,2,2025-01-09,1,19,58,57,19,51,1,0
52,52,1,2025-07-20,1,19,58,58,19,52,1,0
53,53,1,2026-01-19,1,3,9,8,3,53,1,0
54,54,1,2026-02-14,1,15,46,44,15,54,1,0
55,55,2,2024-11-18,1,9,26,27,9,55,1,0
56,56,1,2024-03-05,1,8,24,23,8,56,1,0
57,57,2,2025-06-25,1,20,59,60,20,57,1,0
58,58,1,2025-01-03,1,5,16,14,5,58,1,0
59,59,1,2024-09-03,1,23,70,70,23,59,1,0
60,60,1,2026-02-24,1,2,7,5,2,60,1,0
61,61,1,2025-07-23,1,22,66,67,22,61,1,0
62,62,1,2025-04-07,1,21,63,64,21,62,1,0
63,63,2,2026-04-21,1,24,73,72,24,63,1,0
64,64,1,2024-09-02,1,19,58,58,19,64,1,0
65,65,1,2025-12-18,1,8,25,23,8,65,1,0
66,66,1,2025-02-20,1,31,93,94,31,66,1,0
67,67,1,2026-06-14,1,18,54,54,18,67,1,0
68,68,1,2026-07-22,1,18,53,53,18,68,1,0
69,69,1,2024-05-07,1,18,53,54,18,69,1,0
70,70,1,2025-05-05,1,28,83,85,28,70,1,0
71,71,1,2026-05-08,1,15,45,45,15,71,1,0
72,72,1,2026-07-22,1,7,20,22,7,72,1,0
73,73,1,2026-07-22,1,17,52,50,17,73,1,0
74,74,1,2024-10-08,1,30,89,91,30,74,1,0
75,75,2,2025-08-02,1,9,28,26,9,75,1,0
76,76,2,2025-06-23,1,13,39,38,13,76,1,0
77,77,2,2025-11-13,1,22,67,67,22,77,1,0
78,78,1,2026-01-14,1,8,25,24,8,78,1,0
79,79,2,2026-07-22,1,2,7,6,2,79,1,0
80,80,1,2026-07-22,1,30,91,89,30,80,1,0
81,81,2,2025-08-18,1,21,63,64,21,81,1,0
82,82,1,2024-11-11,1,15,46,45,15,82,1,0
83,83,1,2024-12-31,1,14,43,41,14,83,1,0
84,84,1,2024-08-27,1,1,3,4,1,84,1,0
85,85,1,2026-02-09,1,22,65,67,22,85,1,0
86,86,1,2026-07-21,1,13,38,40,13,86,1,0
87,87,1,2025-11-11,1,14,41,42,14,87,1,0
88,88,1,2026-01-23,1,22,66,66,22,88,1,0
89,89,2,2025-06-08,1,2,6,7,2,89,1,0
90,90,1,2025-11-11,1,14,43,43,14,90,1,0
91,91,1,2026-02-10,1,31,92,92,31,91,1,0
92,92,2,2025-08-10,1,9,28,27,9,92,1,0
93,93,1,2024-11-01,1,23,69,70,23,93,1,0
94,94,1,2024-11-19,1,31,92,93,31,94,1,0
95,95,1,2026-07-22,1,11,32,34,11,95,1,0
96,96,1,2024-11-11,1,31,93,92,31,96,1,0
97,97,1,2026-05-22,1,28,84,84,28,97,1,0
98,98,2,2025-04-05,1,8,23,25,8,98,1,0
99,99,1,2026-07-22,1,13,40,39,13,99,1,0
100,100,1,2025-01-19,1,19,57,57,19,100,1,0
101,101,1,2025-09-18,1,1,4,2,1,101,1,0
102,102,1,2026-01-01,1,26,77,79,26,102,1,0
103,103,1,2024-09-22,1,25,76,74,25,103,1,0
104,104,2,2025-09-22,1,3,8,9,3,104,1,0
105,105,2,2026-07-22,1,27,80,81,27,105,1,0
106,106,1,2026-03-28,1,12,36,37,12,106,1,0
107,107,1,2025-06-28,1,27,80,81,27,107,1,0
108,108,1,2024-06-13,1,29,86,86,29,108,1,0
109,109,1,2025-02-11,1,16,48,48,16,109,1,0
110,110,1,2025-04-14,1,20,59,61,20,110,1,0
111,111,1,2024-06-04,1,20,59,61,20,111,1,0
112,112,1,2026-07-22,1,5,16,15,5,112,1,0
113,113,1,2025-01-29,1,11,34,33,11,113,1,0
114,114,2,2026-03-09,1,16,49,48,16,114,1,0
115,115,2,2026-04-25,1,25,76,74,25,115,1,0
116,116,1,2026-06-07,1,31,94,92,31,116,1,0
117,117,1,2025-07-25,1,28,85,85,28,117,1,0
118,118,2,2024-09-19,1,29,87,88,29,118,1,0
119,119,1,2026-07-22,1,5,15,16,5,119,1,0
120,120,1,2025-09-13,1,29,87,88,29,120,1,0
121,121,1,2024-06-28,1,6,17,19,6,121,1,0
122,122,2,2025-01-05,1,17,52,52,17,122,1,0
123,123,1,2024-12-11,1,24,72,73,24,123,1,0
124,124,2,2026-01-18,1,20,61,59,20,124,1,0
125,125,1,2025-07-25,1,3,10,8,3,125,1,0
126,126,1,2026-07-22,1,30,90,90,30,126,1,0
127,127,1,2026-03-13,1,29,87,88,29,127,1,0
128,128,2,2025-12-19,1,27,81,81,27,128,1,0
129,129,1,2024-10-06,1,7,20,21,7,129,1,0
130,130,1,2026-03-18,1,28,85,83,28,130,1,0
131,131,1,2024-03-29,1,30,91,90,30,131,1,0
132,132,2,2024-10-11,1,19,56,56,19,132,1,0
133,133,2,2025-11-04,1,6,19,17,6,133,1,0
134,134,1,2024-06-06,1,29,87,87,29,134,1,0
135,135,2,2026-07-22,1,29,87,87,29,135,1,0
136,136,1,2024-08-24,1,23,68,69,23,136,1,0
137,137,1,2024-11-18,1,2,5,5,2,137,1,0
138,138,1,2026-04-21,1,13,40,40,13,138,1,0
139,139,2,2026-07-22,1,25,76,76,25,139,1,0
140,140,2,2025-04-08,1,11,33,33,11,140,1,0
141,141,1,2025-04-04,1,13,39,38,13,141,1,0
142,142,1,2025-12-30,1,8,24,25,8,142,1,0
143,143,1,2024-06-24,1,13,38,39,13,143,1,0
144,144,2,2025-12-06,1,4,13,13,4,144,1,0
145,145,1,2024-06-20,1,24,72,71,24,145,1,0
146,146,1,2024-10-17,1,20,59,60,20,146,1,0
147,147,2,2024-07-19,1,3,9,9,3,147,1,0
148,148,1,2025-12-03,1,29,88,88,29,148,1,0
149,149,1,2026-01-24,1,11,33,34,11,149,1,0
150,150,1,2026-05-16,1,25,74,75,25,150,1,0
151,151,1,2025-05-16,1,8,24,24,8,151,1,0
152,152,1,2024-07-30,1,10,31,31,10,152,1,0
153,153,1,2024-04-19,1,22,65,66,22,153,1,0
154,154,1,2024-07-30,1,1,3,2,1,154,1,0
155,155,1,2025-10-05,1,29,88,88,29,155,1,0
156,156,2,2026-07-22,1,7,21,21,7,156,1,0
157,157,2,2024-10-09,1,15,44,45,15,157,1,0
158,158,1,2024-07-03,1,11,32,33,11,158,1,0
159,159,1,2025-03-08,1,29,86,87,29,159,1,0
160,160,1,2025-03-25,1,2,5,7,2,160,1,0
161,161,2,2026-06-21,1,15,46,46,15,161,1,0
162,162,1,2025-02-15,1,28,85,85,28,162,1,0
163,163,1,2025-12-12,1,2,7,5,2,163,1,0
164,164,1,2025-04-22,1,10,29,29,10,164,1,0
165,165,1,2025-05-08,1,1,1,3,1,165,1,0
166,166,1,2025-01-11,1,19,57,58,19,166,1,0
167,167,2,2026-07-22,1,17,52,50,17,167,1,0
168,168,1,2025-10-31,1,15,45,46,15,168,1,0
169,169,2,2026-07-22,1,22,65,67,22,169,1,0
170,170,1,2025-01-26,1,16,49,49,16,170,1,0
171,171,1,2024-12-11,1,23,68,70,23,171,1,0
172,172,2,2026-07-22,1,3,8,10,3,172,1,0
173,173,1,2025-08-02,1,7,20,22,7,173,1,0
174,174,1,2026-05-26,1,25,74,75,25,174,1,0
175,175,1,2024-04-20,1,13,40,38,13,175,1,0
176,176,2,2025-06-23,1,5,16,16,5,176,1,0
177,177,1,2026-04-13,1,15,46,45,15,177,1,0
178,178,1,2024-08-27,1,19,58,57,19,178,1,0
179,179,1,2025-06-20,1,15,46,46,15,179,1,0
180,180,1,2025-07-13,1,30,90,89,30,180,1,0
181,181,1,2025-09-21,1,22,65,65,22,181,1,0
182,182,1,2025-08-11,1,1,2,4,1,182,1,0
183,183,1,2026-03-01,1,8,25,24,8,183,1,0
184,184,1,2025-08-23,1,28,84,84,28,184,1,0
185,185,1,2024-06-15,1,1,4,2,1,185,1,0
186,186,1,2024-05-20,1,1,4,2,1,186,1,0
187,187,2,2025-06-14,1,2,5,5,2,187,1,0
188,188,1,2026-01-26,1,13,39,40,13,188,1,0
189,189,2,2025-07-30,1,6,18,19,6,189,1,0
190,190,1,2025-10-23,1,18,53,53,18,190,1,0
191,191,2,2025-08-28,1,28,84,84,28,191,1,0
192,192,1,2024-11-17,1,30,91,89,30,192,1,0
193,193,1,2026-07-22,1,10,31,31,10,193,1,0
194,194,1,2025-10-24,1,20,59,60,20,194,1,0
195,195,1,2024-11-07,1,4,13,13,4,195,1,0
196,196,1,2026-04-07,1,30,91,91,30,196,1,0
197,197,1,2025-06-05,1,13,39,40,13,197,1,0
198,198,1,2026-05-28,1,14,43,43,14,198,1,0
199,199,2,2025-08-31,1,5,14,14,5,199,1,0
200,200,1,2024-07-12,1,31,93,92,31,200,1,0
201,201,1,2026-07-04,1,9,28,28,9,201,1,0
202,202,2,2025-10-14,1,1,1,1,1,202,1,0
203,203,1,2026-05-17,1,25,75,75,25,203,1,0
204,204,1,2025-09-16,1,28,85,84,28,204,1,0
205,205,1,2024-03-11,1,19,58,57,19,205,1,0
206,206,1,2024-06-05,1,12,36,37,12,206,1,0
207,207,1,2024-12-05,1,12,37,36,12,207,1,0
208,208,1,2025-06-12,1,8,24,24,8,208,1,0
209,209,1,2024-04-08,1,24,73,73,24,209,1,0
210,210,1,2024-06-04,1,14,43,41,14,210,1,0
211,211,2,2024-11-27,1,14,42,41,14,211,1,0
212,212,1,2024-09-28,1,5,16,16,5,212,1,0
213,213,1,2024-04-06,1,31,94,94,31,213,1,0
214,214,1,2024-05-30,1,16,48,48,16,214,1,0
215,215,2,2025-10-05,1,9,27,27,9,215,1,0
216,216,1,2024-07-29,1,14,42,42,14,216,1,0
217,217,1,2025-01-05,1,5,16,15,5,217,1,0
218,218,1,2025-07-04,1,1,2,1,1,218,1,0
219,219,1,2024-02-01,1,7,21,20,7,219,1,0
220,220,1,2024-11-28,1,17,50,51,17,220,1,0
221,221,1,2025-03-30,1,9,27,28,9,221,1,0
222,222,1,2025-11-18,1,20,59,60,20,222,1,0
223,223,1,2025-03-18,1,2,7,7,2,223,1,0
224,224,1,2025-07-18,1,7,22,21,7,224,1,0
225,225,1,2026-02-17,1,20,59,60,20,225,1,0
226,226,1,2026-06-29,1,1,2,1,1,226,1,0
227,227,1,2026-01-25,1,1,3,1,1,227,1,0
228,228,1,2026-03-15,1,4,11,12,4,228,1,0
229,229,1,2025-05-01,1,24,72,71,24,229,1,0
230,230,1,2025-11-28,1,12,35,36,12,230,1,0
231,231,1,2025-08-26,1,13,38,38,13,231,1,0
232,232,2,2024-10-31,1,4,11,13,4,232,1,0
233,233,1,2026-06-23,1,18,54,55,18,233,1,0
234,234,2,2025-08-12,1,30,90,89,30,234,1,0
235,235,1,2024-11-13,1,16,49,48,16,235,1,0
236,236,1,2026-01-07,1,29,87,88,29,236,1,0
237,237,2,2024-10-25,1,4,13,13,4,237,1,0
238,238,2,2025-06-15,1,23,70,70,23,238,1,0
239,239,1,2026-03-14,1,8,23,25,8,239,1,0
240,240,1,2025-01-21,1,1,3,1,1,240,1,0
241,241,1,2024-04-15,1,2,7,5,2,241,1,0
242,242,2,2024-08-30,1,25,75,74,25,242,1,0
243,243,1,2024-10-06,1,30,89,89,30,243,1,0
244,244,1,2026-02-27,1,20,59,59,20,244,1,0
245,245,1,2024-11-19,1,25,74,76,25,245,1,0
246,246,1,2025-01-04,1,11,33,33,11,246,1,0
247,247,1,2025-02-02,1,16,47,48,16,247,1,0
